"id","city_name","lemmatized_city"
10776,"Рязанская область  ","рязанская область"
10782,"Вязьма   ","вязьма"
10783,"Гагарин   ","гагарин"
10795,"Смоленская область  ","смоленская область"
10801,"Ярцево   ","ярцево"
10802,"Тамбовская область  ","тамбовская область"
10803,"Мичуринск   ","мичуринск"
10805,"Бологое   ","бологое"
10807,"Вышний Волочёк  ","вышний волочёк"
10811,"Кимры   ","кимры"
10812,"Конаково   ","конаково"
10819,"Тверская область  ","тверская область"
10820,"Ржев   ","ржев"
10824,"Удомля   ","удомля"
10828,"Ефремов   ","ефремов"
10830,"Новомосковск   ","новомосковск"
10832,"Тульская область  ","тульская область"
10837,"Переславль-Залесский   ","переславль-залесский"
10839,"Рыбинск   ","рыбинск"
10840,"Углич   ","углич"
10841,"Ярославская область  ","ярославская область"
10842,"Архангельская область  ","архангельская область"
10846,"Котлас   ","котлас"
10849,"Северодвинск   ","северодвинск"
10853,"Вологодская область  ","вологодская область"
10857,"Калининградская область  ","калининградская область"
10860,"Советск   ","советск"
10864,"Волхов   ","волхов"
10865,"Всеволожск   ","всеволожск"
10867,"Гатчина   ","гатчина"
10870,"Кингисепп   ","кингисепп"
10871,"Кириши   ","кириши"
10872,"Кировск   ","кировск"
10876,"Луга   ","луга"
10881,"Подпорожье   ","подпорожье"
10883,"Приозерск   ","приозерск"
10884,"Пушкин   ","пушкин"
10888,"Сланцы   ","сланцы"
10891,"Сосновый Бор  ","сосновый бор"
10892,"Тихвин   ","тихвин"
10893,"Тосно   ","тосно"
10894,"Апатиты   ","апатиты"
10895,"Кандалакша   ","кандалакша"
10896,"Мончегорск   ","мончегорск"
10897,"Мурманская область  ","мурманская область"
10902,"Нарьян-Мар   ","нарьян-мар"
10904,"Новгородская область  ","новгородская область"
10906,"Боровичи   ","боровичи"
10923,"Старая Русса  ","старая русса"
10926,"Псковская область  ","псковская область"
10928,"Великие Луки  ","великие луки"
10933,"Республика Карелия  ","республика карелия"
10934,"Кондопога   ","кондопога"
10935,"Костомукша   ","костомукша"
10936,"Сегежа   ","сегежа"
10937,"Сортавала   ","сортавала"
10939,"Республика Коми  ","республика коми"
10940,"Воркута   ","воркута"
10941,"Инта   ","инта"
10942,"Печора   ","печора"
10944,"Усинск   ","усинск"
10945,"Ухта   ","ухта"
10946,"Астраханская область  ","астраханская область"
10950,"Волгоградская область  ","волгоградская область"
10951,"Волжский   ","волжский"
10959,"Камышин   ","камышин"
10965,"Михайловка   ","михайловка"
10981,"Урюпинск   ","урюпинск"
10987,"Армавир   ","армавир"
10988,"Белореченск   ","белореченск"
10990,"Геленджик   ","геленджик"
10993,"Ейск   ","ейск"
10995,"Краснодарский край  ","краснодарский край"
10996,"Кропоткин   ","кропоткин"
10997,"Крымск   ","крымск"
11002,"Тихорецк   ","тихорецк"
11004,"Республика Адыгея  ","республика адыгея"
11006,"Буйнакск   ","буйнакск"
11007,"Дербент   ","дербент"
11008,"Каспийск   ","каспийск"
11009,"Кизляр   ","кизляр"
11010,"Республика Дагестан  ","республика дагестан"
11011,"Хасавюрт   ","хасавюрт"
11012,"Республика Ингушетия  ","республика ингушетия"
11013,"Кабардино-Балкарская Республика  ","кабардино-балкарская республика"
11015,"Республика Калмыкия  ","республика калмыкия"
11020,"Карачаево-Черкесская Республика  ","карачаево-черкесская республика"
11021,"Республика Северная Осетия-Алания ","республика северная осетия-алания"
11024,"Чеченская Республика  ","чеченская республика"
11029,"Ростовская область  ","ростовская область"
11030,"Азов   ","азов"
11034,"Белая Калитва  ","белая калитва"
11036,"Волгодонск   ","волгодонск"
11043,"Каменск-Шахтинский   ","каменск-шахтинский"
11053,"Шахты   ","шахты"
11055,"Буденновск   ","буденновск"
11056,"Георгиевск   ","георгиевск"
11057,"Ессентуки   ","ессентуки"
11062,"Кисловодск   ","кисловодск"
11063,"Минеральные Воды  ","минеральные воды"
11064,"Невинномысск   ","невинномысск"
11067,"Пятигорск   ","пятигорск"
11069,"Ставропольский край  ","ставропольский край"
11070,"Кировская область  ","кировская область"
11071,"Кирово-Чепецк   ","кирово-чепецк"
11077,"Республика Марий Эл ","республика марий эл"
11079,"Нижегородская область  ","нижегородская область"
11080,"Арзамас   ","арзамас"
11082,"Павлово   ","павлово"
11083,"Саров   ","саров"
11084,"Оренбургская область  ","оренбургская область"
11086,"Бузулук   ","бузулук"
11087,"Гай   ","гай"
11090,"Новотроицк   ","новотроицк"
11091,"Орск   ","орск"
11095,"Пензенская область  ","пензенская область"
11101,"Кузнецк   ","кузнецк"
11108,"Пермский край  ","пермский край"
11110,"Соликамск   ","соликамск"
11111,"Республика Башкортостан  ","республика башкортостан"
11113,"Кумертау   ","кумертау"
11114,"Нефтекамск   ","нефтекамск"
11115,"Салават   ","салават"
11116,"Стерлитамак   ","стерлитамак"
11117,"Республика Мордовия  ","республика мордовия"
11119,"Республика Татарстан  ","республика татарстан"
11121,"Альметьевск   ","альметьевск"
11122,"Бугульма   ","бугульма"
11127,"Нижнекамск   ","нижнекамск"
11131,"Самарская область  ","самарская область"
11132,"Жигулёвск   ","жигулёвск"
11139,"Сызрань   ","сызрань"
11143,"Балаково   ","балаково"
11144,"Балашов   ","балашов"
11146,"Саратовская область  ","саратовская область"
11147,"Энгельс   ","энгельс"
11148,"Удмуртская Республика  ","удмуртская республика"
11149,"Воткинск   ","воткинск"
11150,"Глазов   ","глазов"
11152,"Сарапул   ","сарапул"
11153,"Ульяновская область  ","ульяновская область"
11155,"Димитровград   ","димитровград"
11156,"Чувашская Республика  ","чувашская республика"
11158,"Курганская область  ","курганская область"
11159,"Шадринск   ","шадринск"
11160,"Асбест   ","асбест"
11161,"Верхняя Салда  ","верхняя салда"
11162,"Свердловская область  ","свердловская область"
11164,"Каменск-Уральский   ","каменск-уральский"
11165,"Краснотурьинск   ","краснотурьинск"
11166,"Кушва   ","кушва"
11167,"Лесной   ","лесной"
11168,"Нижний Тагил  ","нижний тагил"
11169,"Нижняя Тура  ","нижняя тура"
11170,"Новоуральск   ","новоуральск"
11171,"Первоуральск   ","первоуральск"
11172,"Серов   ","серов"
11173,"Ишим   ","ишим"
11175,"Тобольск   ","тобольск"
11176,"Тюменская область  ","тюменская область"
11177,"Югорск   ","югорск"
11178,"Ялуторовск   ","ялуторовск"
11180,"Когалым   ","когалым"
11181,"Лангепас   ","лангепас"
11182,"Мегион   ","мегион"
11184,"Нефтеюганск   ","нефтеюганск"
11186,"Нягань   ","нягань"
11188,"Пыть-Ях   ","пыть-ях"
11189,"Радужный   ","радужный"
11192,"Урай   ","урай"
11193,"Ханты-Мансийский автономный округ ","ханты-мансийский автономный округ"
11200,"Верхний Уфалей  ","верхний уфалей"
11202,"Златоуст   ","златоуст"
11207,"Копейск   ","копейск"
11212,"Миасс   ","миасс"
11214,"Озёрск   ","озёрск"
11217,"Сатка   ","сатка"
11218,"Снежинск   ","снежинск"
11220,"Троицк   ","троицк"
11223,"Усть-Катав   ","усть-катав"
11225,"Челябинская область  ","челябинская область"
11228,"Губкинский   ","губкинский"
11229,"Надым   ","надым"
11230,"Новый Уренгой  ","новый уренгой"
11231,"Ноябрьск   ","ноябрьск"
11232,"Ямало-Ненецкий автономный округ ","ямало-ненецкий автономный округ"
11235,"Алтайский край  ","алтайский край"
11240,"Заринск   ","заринск"
11251,"Рубцовск   ","рубцовск"
11256,"Ангарск   ","ангарск"
11266,"Иркутская область  ","иркутская область"
11268,"Нижнеудинск   ","нижнеудинск"
11270,"Тайшет   ","тайшет"
11271,"Тулун   ","тулун"
11272,"Усолье-Сибирское   ","усолье-сибирское"
11273,"Усть-Илимск   ","усть-илимск"
11274,"Черемхово   ","черемхово"
11276,"Анжеро-Судженск   ","анжеро-судженск"
11277,"Белово   ","белово"
11282,"Кемеровская область  ","кемеровская область"
11283,"Киселёвск   ","киселёвск"
11285,"Ленинск-Кузнецкий   ","ленинск-кузнецкий"
11287,"Междуреченск   ","междуреченск"
11288,"Мыски   ","мыски"
11291,"Прокопьевск   ","прокопьевск"
11292,"Полысаево   ","полысаево"
11299,"Юрга   ","юрга"
11302,"Ачинск   ","ачинск"
11309,"Красноярский край  ","красноярский край"
11310,"Минусинск   ","минусинск"
11311,"Норильск   ","норильск"
11316,"Новосибирская область  ","новосибирская область"
11318,"Омская область  ","омская область"
11319,"Горно-Алтайск   ","горно-алтайск"
11327,"Северобайкальск   ","северобайкальск"
